question,option1,option2,option3,option4,correct_answer
"Two malignant lesions on the scalp measuring 1.1 cm and 2.0 cm, and one malignant lesion on the neck measuring 2.2 cm were destroyed. Electrocautery was used for the first two lesions and laser was used for the third lesion. The procedures should be coded as:",17276,"17273, 17272","17273, 17272, 17272","17274, 17273","17273, 17272, 17272"
A patient underwent an excision of a 2.1-cm diameter malignant lesion on her nose. An 11.2sqcm adjacent tissue transfer was required to repair the primary and secondary defect sites. How should you code this procedure?,"11643, 14061-59",14061,"11646, 13152-51, 13153-51","11443, 12054-59",14061
A patient presents to have corns removed from his foot. The physician performs paring to successfully remove four lesions. How should the physician report these services? ,11056,"11056, 12001",11056 x4,11704,11056
"The physician removes a tumor from the patient’s neck using the Mohs micrographic surgery technique. During the first stage, the physician takes four tissue blocks and reviews them under a microscope. The exam of the tissue blocksreveals a second stage is necessary to remove areas where the tumor is still present. The physician removes two additional tissue blocks. What are the appropriate CPT® codes for reporting the procedure? ","17311, 17312, 17315","17313, 17315","17313, 17314, 17315","17311, 17312","17311, 17312"
"Pre-Procedure Diagnosis: Basal cell carcinoma, left chin. Procedure: Wide local excision of 3.0 cm with 0.3 cm margin basal cell carcinoma of the left chin with a 4cm closure. Procedure: The patient’s left chin was examined. The site of intended excision was marked out. The site was then prepped. The patient was then prepped and draped in the usual fashion. A 15 blade scalpel was then used to make an incision in the previously marked site. It was carried down to the subcuticular fat. The lesion was then sharply dissected off underlying tissue bed using a 15- blade scalpel. It was tagged for pathologic orientation. The hyfrecator was used for hemostasis. The wound was then closed by advancing the tissue surrounding the lesion and closing in layers with 3-0 Vicryl for the deep layer, followed by 5-0 Prolene for the skin. The skin closure was in a running subcuticular fashion. Steri-Strips were then applied. What are the procedure and diagnosis codes? ","11644, 12052-51","11643, 12013-51","11444, 12052-51","11443, 12013-51","11444, 12052-51"
A 52-year-old patient had a right breast reconstruction with free flap. The surgeon used a microsurgical technique requiring an operating microscope. How would you report this procedure? ,"19364-RT, 69990",19357,"19361, 69990",19364-RT,19364-RT
"Dr. Alice, a plastic surgeon, completed a bilateral rhytidectomy of the neck and a suction assisted lipectomy of the right upper arm. What codes should be reported for Dr. Alice’S service. ","15828-50, 15879-RT-59","15826-59, 15879-RT-59","15828-50, 15879-RT-59","15826-RT, 15828-50, 15879-RT-59","15828-50, 15879-RT-59"
What CPT code would best describe the treatment of 9 planter warts removedand 6 flat warts all destroyed with cryosurgery during the same office visit? ,"17110, 17111-52",17110,"17110, 17003",17111,17111
"The physician performs simple repairs for three lacerations measuring 2.0 cm, 3.0 cm, and 3.0 cm, respectively, on the forearm. There is an additional 1.0 cmintermediate repair, also on the forearm. Which is the proper coding? ","12031, 12001 x3",12004,"12004, 12031","12031, 12004-59","12031, 12004-59"
"The physician documents a complex repair, chest, 15.0 cm. Which is theappropriate coding? ","13101, 13102","13101, 13102-59","13101, 13102 x2","13100, 13102 x3","13101, 13102 x2"
A patient had a chest wall tumor excised. The procedure involved the ribs with plastic reconstruction and mediastinal lymphadenectomy. How would you report this service? ,"19272, 32503-59",19272,"32503, 19271-59, 21632-59","32442, 19260-51",19272
"Patient has basal cell carcinoma on his upper back. A map was prepared to correspond to the area of skin where the excisions of the tumor will be performed using Mohs micrographic surgery technique. There were three tissue blocks that were prepared for cryostat, sectioned, and removed in the first stage. Then a second stage had six tissue blocks which were also cut and stained for microscopic examination. The entire base and margins of the excised pieces of tissue were examined by the surgeon. No tumor was identified after the final stage of the microscopically controlled surgery. What procedure codes should be reported? ","17313, 17314 x2","17313, 17315","17260, 17313, 17314","17313, 17314, 17315","17313, 17314, 17315"
